Year,CEPCI,,,Currency,10 year average exchange rate (2020)
1976,197.8,,,EUR to CHF,1.48504
1977,213.6,,,USD to CHF,0.953363
1978,229.4,,,,
1979,245.2,,,,
1980,261,,,,
1981,273.4,,,,
1982,285.8,,,,
1983,298.2,,,,
1984,310.6,,,,
1985,323,,,,
1986,329.92,,,,
1987,336.84,,,,
1988,343.76,,,,
1989,350.68,,,,
1990,357.6,,,,
1991,362.3,,,,
1992,367,,,,
1993,371.7,,,,
1994,376.4,,,,
1995,381.1,,,,
1996,381.7,,,,
1997,386.5,,,,
1998,389.5,,,,
1999,390.6,,,,
2000,394.1,,,,
2001,394.3,,,,
2002,395.6,,,,
2003,402,,,,
2004,444.2,verified,,,
2005,468.2,verified,,,
2006,499.6,verified,,,
2007,525.4,verified,,,
2008,575.4,verified,,,
2009,521.9,verified,,,
2010,550.8,verified,,,
2011,585.7,verified,,,
2012,584.6,verified,,,
2013,567.3,verified,,,
2014,576.1,verified,,,
2015,556.8,verified,,,
2016,541.7,verified,,,
2017,567.5,verified,,,
2018,603.1,verified,,,
2019,619.2,Preliminary jan 2019,,,
